,Influencer insta name,instagram name,category_1,category_2,Followers,Audience country(mostly),"Authentic engagement
","Engagement avg
",New_Category
810,sarwendah29,Sarwendah29,Music,Lifestyle,30.8M,Indonesia,75.4K,89.2K,Music & Dance
811,sav.labrant,Savannah Rose LaBrant,Family,Lifestyle,7M,United States,597.1K,798.4K,Other
813,sebastianyatra,Sebastian Yatra,Music,Art/Artists,29.3M,Argentina,219.3K,305.6K,Music & Dance
814,selenagomez,Selena Gomez,Music,Lifestyle,308.2M,United States,3.3M,4.4M,Music & Dance
820,shaymitchell,Shay Mitchell,Beauty,Family,32.6M,United States,304.8K,426.3K,Beauty
821,shehnaazgill,Shehnaaz Gill,Cinema & Actors/actresses,Music,11.3M,India,396.8K,496.3K,Movies
825,shreyas41,Shreyas Iyer,Sports with a ball,Lifestyle,5.9M,India,461.7K,575.7K,Sports
828,sidmalhotra,Sidharth Malhotra,Cinema & Actors/actresses,Modeling,18.7M,India,602.4K,750K,Movies
835,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,Clothing & Outfits,Music,17.5M,Indonesia,871.4K,1.1M,Fashion
837,snoopdogg,snoopdogg,Lifestyle,Music,71.8M,United States,60.9K,85.5K,Lifestyle
838,sofiaalcastro,♡sofia castro,Shows,Cinema & Actors/actresses,8.5M,Colombia,427.4K,582.7K,Movies
842,sonamkapoor,Sonam Kapoor Ahuja,Fashion,Modeling,31.9M,India,145.8K,173.5K,Fashion
846,sooyaaa__,JISOO🤍,Music,Beauty,58.6M,Indonesia,4.7M,5.4M,Music & Dance
847,sooyoungchoi,Sooyoung Choi,Beauty,Lifestyle,6.9M,Indonesia,348.9K,420.7K,Beauty
854,spacex,SpaceX,Science,Machinery & Technologies,13.3M,United States,201K,244.9K,Science & Technology
855,sportscenter,SportsCenter,Sports with a ball,Shows,30M,United States,125.8K,224.2K,Sports
856,ssinz7,박신혜/Shin Hye Park,Music,Cinema & Actors/actresses,13.5M,Indonesia,1.3M,1.6M,Music & Dance
860,stephencurry30,Wardell Curry,Sports with a ball,Family,41.1M,United States,565.7K,757.6K,Sports
