Influencer_insta_name,category_1,followers,audience_country,"authentic_engagement
","engagement_avg
"
hrithikroshan,Celebrity/ Entertainment,41900000,India,638300,805300
hshq,Celebrity/ Entertainment,5500000,United States,488100,859100
huddy,Travel/ Lifestyle,11900000,Brazil,228400,317800
humansofny,Travel/ Lifestyle,11800000,United States,181900,215400
hyeri_0609,Celebrity/ Entertainment,7000000,South Korea,447600,539000
hyunah_aa,Celebrity/ Entertainment,17600000,South Korea,378100,448700
hziyech,Sports,6000000,Morocco,348400,476000
hztttao,Celebrity/ Entertainment,11300000,Indonesia,253100,281300
i_nivethathomas,Celebrity/ Entertainment,5900000,India,395300,447000
iambeckyg,Celebrity/ Entertainment,31200000,Mexico,679200,817400
iamcardib,Celebrity/ Entertainment,127200000,United States,2300000,3300000
iamferv,Travel/ Lifestyle,8800000,Mexico,1000000,1500000
iamhalsey,Celebrity/ Entertainment,28900000,United States,793700,1000000
iammichelemorroneofficial,Travel/ Lifestyle,12900000,Brazil,654100,938900
iampauloandre,Travel/ Lifestyle,6100000,Brazil,122200,424400
iamsrk,Celebrity/ Entertainment,28600000,India,717000,909700
iamzlatanibrahimovic,Sports,52900000,Italy,306700,473100
iansomerhalder,Celebrity/ Entertainment,22500000,United States,527600,788900
ibaillanos,Celebrity/ Entertainment,6800000,Spain,859100,1200000
ileana_official,Celebrity/ Entertainment,14100000,India,286000,347700
imhyoseop,Travel/ Lifestyle,6000000,Indonesia,1200000,1400000
imouniroy,Celebrity/ Entertainment,22600000,India,238900,290700
imsebastianstan,Celebrity/ Entertainment,9000000,United States,566100,672900
indiancricketteam,Sports,23900000,India,223200,260300
indiaroyale,Travel/ Lifestyle,4000000,United States,384500,1100000
inijedar,Celebrity/ Entertainment,29400000,Indonesia,74500,99700
iqbaal.e,Celebrity/ Entertainment,13400000,Indonesia,271400,465900
irinashayk,Fashion/ Beauty,17900000,Russia,121800,169000
iscoalarcon,Sports,23300000,Spain,142700,206200
isisvalverde,Celebrity/ Entertainment,27800000,Brazil,79400,117200
itsmarziapie,Fashion/ Beauty,8200000,United States,603200,705100
itzy.all.in.us,Celebrity/ Entertainment,15800000,Indonesia,761500,930800
jackharlow,Travel/ Lifestyle,5100000,United States,330800,618400
jacksepticeye,Business/ Tech/ Gaming,7700000,United States,277700,322300
jacksonwang852g7,Celebrity/ Entertainment,27300000,China,950100,1100000
jacobelordi,Celebrity/ Entertainment,13200000,Brazil,997400,1600000
jacquelinef143,Celebrity/ Entertainment,59300000,India,322000,391800
jadepicon,Fashion/ Beauty,19400000,Brazil,375200,818400
jailyneojeda,Fashion/ Beauty,14100000,United States,183100,253700
jaimelorentelo,Celebrity/ Entertainment,14500000,Brazil,285100,381800
jairmessiasbolsonaro,Business/ Tech/ Gaming,19500000,Brazil,150900,212600
jakepaul,Celebrity/ Entertainment,19200000,United States,278200,465100
jamescharles,Fashion/ Beauty,23300000,United States,293900,432000
jamesrodriguez10,Sports,49100000,Colombia,506000,768300
jamorant,Travel/ Lifestyle,5900000,United States,332900,537800
janhvikapoor,Travel/ Lifestyle,16100000,India,951300,1100000
jannatzubair29,Celebrity/ Entertainment,41200000,India,614700,748600
jaspritb1,Travel/ Lifestyle,9500000,India,466500,536000
jaybnow.hr,Celebrity/ Entertainment,6600000,Brazil,561300,731700
jaydacheaves,Fashion/ Beauty,7000000,United States,128500,381300
jbalvin,Celebrity/ Entertainment,51900000,Mexico,273600,363000
jennaortega,Celebrity/ Entertainment,7400000,United States,257100,366100
jennierubyjane,Celebrity/ Entertainment,64800000,Indonesia,6200000,7400000
jennifer.garner,Celebrity/ Entertainment,12500000,United States,255600,289400
jenniferaniston,Celebrity/ Entertainment,40100000,Brazil,1600000,2300000
jenniferwinget1,Celebrity/ Entertainment,12300000,India,322300,391700
jennmuriel,Travel/ Lifestyle,5500000,Colombia,451500,562600
jensenackles,Celebrity/ Entertainment,9100000,United States,504600,655900
jeremyrenner,Celebrity/ Entertainment,17200000,United States,192900,230800
jesselingard,Sports,9500000,United Kingdom,192100,294500
jessicah_o,Celebrity/ Entertainment,9700000,United States,874500,1100000
jessicajane99,Travel/ Lifestyle,6000000,Indonesia,441400,582300
jharden13,Sports,11700000,United States,137500,236500
jheneaiko,Celebrity/ Entertainment,14000000,United States,273800,481100
jichangwook,Celebrity/ Entertainment,19200000,Indonesia,920200,1200000
jimmyfallon,Celebrity/ Entertainment,21300000,United States,97200,120900
jin_bighitentertainment,Travel/ Lifestyle,8500000,Indonesia,1200000,1400000
jinyoung_0922jy,Celebrity/ Entertainment,9300000,Indonesia,881400,1200000
jlo,Celebrity/ Entertainment,200800000,United States,429500,549900
joaoguilherme,Celebrity/ Entertainment,15500000,Brazil,116800,227100
joeyking,Celebrity/ Entertainment,19100000,Brazil,541100,774100
johnnyjsuh,Travel/ Lifestyle,8100000,Indonesia,1300000,1600000
jojotodynho,Celebrity/ Entertainment,21700000,Brazil,117300,190100
jokowi,Business/ Tech/ Gaming,45800000,Indonesia,158000,196000
jongsuk0206,Celebrity/ Entertainment,22200000,Indonesia,2200000,2900000
jordialbaoficial,Sports,14100000,Spain,135700,196300
jorgelopez_as,Celebrity/ Entertainment,9700000,Brazil,211300,346300
joshuadun,Celebrity/ Entertainment,5800000,United States,540300,660000
juandediospantoja,Celebrity/ Entertainment,21500000,Mexico,519100,591800
juanpazurita,Celebrity/ Entertainment,28600000,Mexico,341700,485800
juki_lop,Celebrity/ Entertainment,9100000,Mexico,493000,573300
julesleblanc,Celebrity/ Entertainment,9700000,United States,409500,592100
julianapaes,Celebrity/ Entertainment,30200000,Brazil,61400,95200
juliette,Celebrity/ Entertainment,33700000,Brazil,201200,319800
jungkook_bighitentertainment,Celebrity/ Entertainment,9900000,Brazil,1800000,2000000
justinbieber,Celebrity/ Entertainment,227000000,India,439100,638200
justinbieber,Celebrity/ Entertainment,227400000,India,314200,445300
justintimberlake,Celebrity/ Entertainment,64200000,United States,323300,432900
juventus,Sports,52900000,India,61800,89400
k.mbappe,Sports,68900000,France,3000000,4300000
kajalaggarwalofficial,Celebrity/ Entertainment,21700000,India,527300,638000
kaka,Sports,17900000,Brazil,83600,136100
kaliuchis,Celebrity/ Entertainment,3700000,United States,399200,689700
kapilsharma,Celebrity/ Entertainment,39800000,India,690200,789300
kareenakapoorkhan,Travel/ Lifestyle,8900000,India,367400,458300
karimbenzema,Sports,47400000,France,981200,1400000
karolg,Celebrity/ Entertainment,50800000,Mexico,4500000,5400000
kartikaaryan,Celebrity/ Entertainment,23800000,India,472200,588200
katherinelangford,Celebrity/ Entertainment,25700000,India,241900,346400
katrinakaif,Fashion/ Beauty,62900000,India,1000000,1100000
katyperry,Celebrity/ Entertainment,156600000,Brazil,231800,302600
kawtarbamo,Celebrity/ Entertainment,7200000,Morocco,275900,374100
kaylanicolejones,Celebrity/ Entertainment,7300000,United States,166500,352700
keerthysureshofficial,Fashion/ Beauty,12500000,India,650700,743600
kehlani,Celebrity/ Entertainment,13700000,United States,210500,328200
kendalljenner,Fashion/ Beauty,227400000,United States,3400000,5500000
keniaos,Celebrity/ Entertainment,12600000,Mexico,545200,709000
kentooyamazaki,Celebrity/ Entertainment,4900000,Japan,583000,677100
kenzie,Celebrity/ Entertainment,14800000,United States,232400,353600
kevindebruyne,Sports,16800000,United Kingdom,247500,382900
kevinhart4real,Celebrity/ Entertainment,140200000,United States,111300,141000
kevinroldankr,Celebrity/ Entertainment,10100000,Mexico,180200,291400
khabib_nurmagomedov,Health/ Fitness,33300000,Russia,252600,353300
khloekardashian,Fashion/ Beauty,230200000,United States,991100,1200000
kiaraaliaadvani,Celebrity/ Entertainment,22100000,India,828800,939300
kiernanshipka,Celebrity/ Entertainment,8100000,Brazil,207300,335800
kimberly.loaiza,Fashion/ Beauty,33900000,Mexico,995000,1200000
kimjuncotton,Travel/ Lifestyle,9700000,Indonesia,1400000,1700000
